wp_id,task_id,subject_match,description_raw_match,description_text_match,description_class,status_match,op_status,odoo_stage,project_match,parent_match,assignee_match_or_not_supported,dates_match_or_not_supported,priority_match_or_not_supported,op_sync_state,op_last_error,duplicate,misplaced,overall_ok,notes
58,147,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
59,148,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
60,149,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
61,150,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
62,151,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
63,152,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
64,153,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
65,154,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
66,155,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
67,156,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
68,157,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
69,158,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=2:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
70,159,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
71,160,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=2:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
132,161,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=1:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
133,162,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
170,163,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
171,164,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
172,165,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
