wp_id,task_id,subject,op_parent_wp,op_parent_subject,parent_id,odoo_parent_wp,op_parent_work_package_id,op_parent_subject_meta,op_parent_op_project_id_meta,op_cross_project_parent,is_root,same_project_parent,cross_project_parent,ok,issues
58,147,[Vendor] Review CloudEdge tenant credentials & VPN certificate,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
59,148,[Vendor] Port forwarding: Odoo 8069 and 8072 to 172.20.1.1,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
60,149,[Vendor] Fix external Odoo access (timeout after redirect from client IP),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
61,150,[Vendor] Connect production domain and configure Let's Encrypt SSL,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
62,151,[Vendor] Obtain Shopify main account credentials,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
63,152,[Vendor] Resolve missing Odoo user in credentials file,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
64,153,[Vendor] Change all default passwords (security hardening),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
65,154,[Vendor] Configure automated backups before go-live,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
66,155,[Vendor] Deploy Odoo modules + test data (coordinate Ali / Selim),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
67,156,[Vendor] Shopify ↔ Odoo integration,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
68,157,"[Internal] A-Zone VM access runbook — CloudEdge VPN, SSH, and Odoo",170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
69,158,[Vendor] iZone requirements: Shopify-Odoo integration spec (21 tasks + Amazon),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
70,159,[Client] Odoo 19 / Shopify iZone EG — Final Remediation Report (2026-06-28),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
71,160,[Client] Shopify Connector User Guide — screenshots & use cases (odoo_test),170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
132,161,"[Client] Shopify-Odoo connector — full UAT & integration feedback (Jun 29, 2026)",170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
133,162,[Vendor] Post-UAT Remediation — Implemented & Verified (2026-07-02),69,[Vendor] iZone requirements: Shopify-Odoo integration spec (21 tasks + Amazon),158,69,69,[Vendor] iZone requirements: Shopify-Odoo integration spec (21 tasks + Amazon),12,False,False,True,False,True,
170,163,izone_azone_parent,,,,,,,,False,True,False,False,True,
171,164,"[iZone] feat: WP69 payment fees, refunds, exchange, and ops (Phases A-E)",170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
172,165,"[iZone] Post-UAT remediation: order update sync, refund restock, exchange wizard, payment fees, and connector tests/docs",170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
208,45,[Delivery] Shopify Connector — full module delivery (10 phases),,,,,,,,False,True,False,False,True,
209,202,Phase 1/10 — Foundation & store configuration,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
210,203,Phase 2/10 — Product catalog sync,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
211,204,Phase 3/10 — Customer sync,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
212,205,Phase 4/10 — Inventory & locations,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
213,206,Phase 5/10 — Order import & pricing,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
214,207,Phase 6/10 — Payments & fees,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
215,208,Phase 7/10 — Shipping & fulfillment,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
216,209,Phase 8/10 — Refunds & cancellations,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
217,210,Phase 9/10 — Exchange & order edit,208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
218,211,"Phase 10/10 — Ops, logs, UAT & handover",208,[Delivery] Shopify Connector — full module delivery (10 phases),45,208,208,[Delivery] Shopify Connector — full module delivery (10 phases),12,False,False,True,False,True,
224,46,[Bright] Database connectivity issue,,,,,,,,False,True,False,False,True,
225,166,WP71 — Shopify connector product sync review and remediation,170,izone_azone_parent,163,170,170,izone_azone_parent,12,False,False,True,False,True,
226,167,"[iZone] P1 — Audit: logs, queue health, product sync baseline",225,WP71 — Shopify connector product sync review and remediation,166,225,225,WP71 — Shopify connector product sync review and remediation,12,False,False,True,False,True,
227,168,"[iZone] P2 — Log noise fix + queue recovery (stuck processing, claim limits)",225,WP71 — Shopify connector product sync review and remediation,166,225,225,WP71 — Shopify connector product sync review and remediation,12,False,False,True,False,True,
228,169,"[iZone] P3 — Product variant sync fix (integrity, PTAV, attribute lines)",225,WP71 — Shopify connector product sync review and remediation,166,225,225,WP71 — Shopify connector product sync review and remediation,12,False,False,True,False,True,
229,170,"[iZone] P4 — Tests, module upgrade, retry failed queue on odoo_test",225,WP71 — Shopify connector product sync review and remediation,166,225,225,WP71 — Shopify connector product sync review and remediation,12,False,False,True,False,True,
230,171,[iZone] P5 — Validation report and 24h monitoring sign-off,225,WP71 — Shopify connector product sync review and remediation,166,225,225,WP71 — Shopify connector product sync review and remediation,12,False,False,True,False,True,
328,340,PLAN — Consolidate iZone into one Odoo + OpenProject project,,,,,,,,False,True,False,False,True,
329,341,"Phase 0 — Backup, freeze sync, export inventory",328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
330,342,Phase 1 — OpenProject: move WPs to project #12,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
331,343,Phase 2 — Odoo: merge tasks into project #19,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
332,344,Phase 3 — Sync maps & prevent re-split,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
333,345,Phase 4 — Validation & smoke tests,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
334,346,Phase 5 — Optional: audience tagging in one board,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,340,328,328,PLAN — Consolidate iZone into one Odoo + OpenProject project,12,False,False,True,False,True,
335,347,[Bright] project.task sync issue after migration,,,,,,,,False,True,False,False,True,
341,353,[Bright] User account password setup,,,,,,,,False,True,False,False,True,
